카테고리,플랫폼,수수료율,구조설명,쿠키기간,최소지급액,지급주기,결제통화,비고
숙박예약,Booking.com,4-6%,부킹닷컴 수수료의 25-40%,세션만,-,월간,정보없음,세션 기반으로 즉시 전환 필요
숙박예약,Expedia,3-6%,예약액 직접 수수료,30일,$50,월간,"USD, EUR, GBP 등 15개 통화",다중통화 지원
숙박예약,Agoda,4-7%,예약액 직접 수수료 (성과차등),1일,$200,월간,USD 기준,성과별 5단계 차등 수수료
숙박예약,Hotels.com,4%,Expedia 통합 프로그램,30일,$50,월간,"USD, EUR, GBP 등 15개 통화",Expedia 그룹 통합
액티비티투어,GetYourGuide,8%,예약액 직접 수수료,30일,€50,월간,EUR 기준,협상으로 최대 12% 가능
액티비티투어,Viator,8%,예약액 직접 수수료,30일,$50,주간,USD 기준,가장 빠른 주간 정산
액티비티투어,Klook,2-5%,예약액 직접 수수료,30일,$150,3개월 지연,"KRW, USD, EUR 등 다중통화",유일한 KRW 지원 + 아시아 특화
메타서치기타,TripAdvisor,$0.15-0.75/클릭,클릭 기반 (예약 불요),14일,-,월간,USD 기준,예약 완료 없이도 클릭만으로 수익
메타서치기타,Kayak,매출배분 50%,수익공유 모델,30일,-,월간,정보없음,수익 배분 모델
메타서치기타,Airbnb,? 종료,2021년 3월 프로그램 종료,-,-,-,-,공식 제휴 프로그램 완전 종료
,,,,,,,,
한국시장특화정보,,,,,,,,
항목,내용,,,,,,,
원화(KRW) 지원,Klook만 한국원화 직접 지원,,,,,,,
아시아 특화,Klook이 한국/일본/동남아 시장에 최적화,,,,,,,
USD 기준,대부분 플랫폼이 달러 기준 정산,,,,,,,
EUR 기준,GetYourGuide는 유로 기준 정산,,,,,,,
,,,,,,,,
한국제휴마케터추천순위,,,,,,,,
순위,플랫폼,이유,,,,,,
1,Klook,유일한 KRW 지원 + 아시아 여행 특화,,,,,,
2,Expedia,다중통화 지원으로 환율 리스크 최소화,,,,,,
3,GetYourGuide/Viator,높은 수수료율 (8%) 하지만 외화 정산,,,,,,
